image_id,source_id,source_url,local_path,room_type,mess_level,visible_issues,confidence,license,attribution,split,notes
messy_kitchen_sink_commons,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Messy_kitchen_sink.jpg,.local-scan-fixtures/photos/messy_kitchen_sink.jpg,kitchen,bigger_reset,dishes_visible|sink_full|cluttered_surface,medium,verify_source,File:Messy kitchen sink.jpg,validation,Public reference fixture for sink/dishes mess
gfp_messy_kitchen_sink_commons,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Gfp-messy-kitchen-sink.jpg,.local-scan-fixtures/photos/gfp_messy_kitchen_sink.jpg,kitchen,bigger_reset,dishes_visible|sink_full|cluttered_surface|wipe_needed,medium,verify_source,File:Gfp-messy-kitchen-sink.jpg,validation,Public reference fixture for heavier kitchen sink reset
messy_bedroom_bag_commons,wikimedia_commons,https://commons.wikimedia.org/wiki/Category:Bedrooms_in_the_United_States,,bedroom,bigger_reset,unmade_bed|floor_clutter|laundry_visible|trash_visible,low,verify_source,Category:Bedrooms in the United States,validation,Category-level reference; download exact image before pixel training
cluttered_bedroom_commons,wikimedia_commons,https://commons.wikimedia.org/wiki/Category:Bedrooms_in_the_United_States,,bedroom,bigger_reset,unmade_bed|floor_clutter|bedroom_surface_clutter|closet_or_box_clutter,low,verify_source,Category:Bedrooms in the United States,validation,Category-level reference; download exact image before pixel training
laundry_room_pile_commons,wikimedia_commons,https://commons.wikimedia.org/wiki/File:Energy_use_in_the_laundry_room_(36377510063).jpg,,laundry,bigger_reset,laundry_machine_reset|folding_needed|laundry_visible,low,verify_source,File:Energy use in the laundry room,validation,Download was rate-limited during first pass
cluttered_home_office_kitchen_commons,wikimedia_commons,https://commons.wikimedia.org/wiki/File:DFC_3009_A_cozy_lived-in_home_office_and_kitchen_area_with_a_cluttered_desk_display_shelves_of_dishes_and_ornaments_a_refrigerator_and_stools_scattered_across_a_concrete_floor.jpg,,office,bigger_reset,office_desk_clutter|floor_clutter|electronics_clutter,low,verify_source,File:DFC 3009 cluttered home office kitchen,validation,Download was rate-limited during first pass
cluttered_kitchen_counter_commons,wikimedia_commons,https://commons.wikimedia.org/wiki/Category:Microwave_ovens,,kitchen,needs_attention,cluttered_surface|wipe_needed,low,verify_source,Category:Microwave ovens,validation,Category-level reference; choose exact image before pixel training
cluttered_utility_room_commons,wikimedia_commons,https://commons.wikimedia.org/wiki/Category:Fire_extinguishers_in_the_United_States,,storage,bigger_reset,basement_floor_path|storage_shelf_clutter|cords_or_equipment_clutter,low,verify_source,Category:Fire extinguishers in the United States,validation,Category-level reference; choose exact image before pixel training
places365_bedroom_seed,places365,manual_download_required,,bedroom,needs_review,,low,verify_source,Places365 bedroom category,train,Populate from Places365 indoor room download/filter step
places365_kitchen_seed,places365,manual_download_required,,kitchen,needs_review,,low,verify_source,Places365 kitchen category,train,Populate from Places365 indoor room download/filter step
ade20k_bed_sink_floor_seed,ade20k,manual_download_required,,mixed,needs_review,floor_path|sink|bed|surface,low,verify_source,ADE20K object annotations,train,Populate from ADE20K scene/object annotations
open_images_household_seed,open_images_v7,manual_download_required,,mixed,needs_review,dishes_visible|laundry_visible|trash_visible|surface_clutter,low,verify_source,Open Images household labels,train,Populate from filtered Open Images labels
coco_household_seed,coco,manual_download_required,,mixed,needs_review,cup|bowl|chair|couch|bed|backpack,low,verify_source,COCO object annotations,train,Populate from filtered COCO object annotations
homeobjects_seed,homeobjects_3k,manual_download_required,,mixed,needs_review,household_objects,low,verify_source,HomeObjects-3K annotations,train,Populate from HomeObjects-3K download
